NPUF30001,GaiaSeed
NPUF30002,Cho Aniki
NPUF30003,Magical Drop F
NPUF30004,Arcade Hits: Outlaws of the Lost Dynasty
NPUF30005,Tall Unlimited
NPUF30006,Arcade Hits: Shienryu
NPUF30017,Money Idol Exchanger
NPUF30018,Arcade Hits: Sonic Wings Special
NPUF30019,Dezaemon Plus!
NPUF30020,Blockids
NPUF30021,Galaxy Fight
NPUF30022,Mega Man
NPUF30023,Mega Man 2
NPUF30024,Mega Man 3
NPUF30025,Yakiniku Bugyou
NPUF30026,Rapid Angel
NPUF30027,Kyuiin
NPUF30028,Cyberbots: Fullmetal Madness
NPUF30029,Mega Man 4
NPUF30030,Dezaemon Kids!
NPUF30031,Arcade Hits: Magical Drop
NPUF30033,ART CAMION SUGOROKUDEN
NPUF30034,FINGER★FLASHING
NPUF30035,LUP★SALAD
NPUF30036,MAKERUNA MAKENDO2
NPUF30037,VEHICLE CAVALIER
NPUF30038,ZANAC×ZANAC
NPUF30039,Zero Kara no Mahjong ~Mahjong Tamago-gumi 2~
NPUF30040,Mahjong Youchien Tamago-gumi
NPUF30041,Zero Kara No Shogi~Shogi Youchien Ayumi-gumi~
NPUF30042,Evergreen Avenue
NPUF30043,Favorite Dear ~Enkan no Monogatari~
NPUF30044,Favorite Dear ~Jyunpaku no Yogensha~
NPUF30045,First Queen IV
NPUF30047,Motto Trump Shiyouyo!
NPUF30048,Oz no Mahoutsukai ~Another World~ RungRung
NPUF30049,Sentimental Graffiti
NPUF30050,Trump Shiyouyo! Fukkoku-ban
NPUF30051,Mahjong Uranai Fortuna-Tsuki no Megami Tachi
NPUF30053,Double Dragon
NPUF30054,Hyper Crazy Climber
NPUF30055,Lucifer Ring
NPUF30056,Wolf Fang
NPUF30059,The Firemen 2: Pete & Danny
NPUF30060,Sarara's Little Shop
NPUF30061,Tokyo 23-Ku Seifuku Wars
NPUF30062,NEO PLANET
NPUF30063,Heroine Dream 2
NPUF30064,Heroine Dream
NPUF30065,Dragon Beat Legend of Pinball
NPUI00571,Vib-Ribbon
NPUI94103,Jumping Flash!
NPUI94108,Jumping Flash! 2
NPUI94154,Crash Bandicoot 2: Cortex Strikes Back
NPUI94167,Jet Moto 2
NPUI94199,Bloody Roar
NPUI94227,MediEvil
NPUI94227,MediEvil
NPUI94228,Spyro the Dragon
NPUI94240,Syphon Filter  (req. OFW 3.01)
NPUI94240,Syphon Filter  (req. OFW 3.40)
NPUI94244,Crash Bandicoot 3: Warped
NPUI94251,Cool Boarders 3
NPUI94301,WipEout
NPUI94301,WipEout  (Canadian Store) [BUGGY]
NPUI94302,Destruction Derby
NPUI94304,Twisted Metal
NPUI94305,Warhawk
NPUI94306,Twisted Metal 2
NPUI94308,Rally Cross
NPUI94309,Jet Moto
NPUI94356,Cool Boarders  (req. OFW 3.01)
NPUI94356,Cool Boarders  (req. OFW 3.50)
NPUI94358,Cool Boarders 2
NPUI94425,Spyro 2: Ripto’s Rage
NPUI94426,Crash Team Racing
NPUI94448,Um Jammer Lammy
NPUI94451,Syphon Filter 2
NPUI94467,Spyro 3: Year of the Dragon
NPUI94476,Hot Shots Golf 2
NPUI94484,WildArms: 2nd Ignition
NPUI94491,Legend Of Dragoon
NPUI94508,2Xtreme
NPUI94608,WildArms
NPUI94640,Syphon Filter 3
NPUI94900,Crash Bandicoot  (req. OFW 3.40)
NPUI94900,Crash Bandicoot  (req. OFW 3.01)
NPUJ00005,Rayman
NPUJ00006,Tekken
NPUJ00008,Cyber Sled
NPUJ00027,Blood Omen: Legacy of Kain
NPUJ00029,Magic Carpet
NPUJ00036,Darkstalkers
NPUJ00042,Gex
NPUJ00061,Soviet Strike
NPUJ00067,Castlevania: Symphony of the Night
NPUJ00089,TNN Motor Sports Hardcore 4×4
NPUJ00113,Sim City 2000
NPUJ00152,Tomb Raider
NPUJ00157,Hi-Octane: The Track Fights Back
NPUJ00190,Oddworld: Abe’s Oddysee
NPUJ00195,Romance of the Three Kingdoms IV
NPUJ00197,Street Fighter Alpha: Warriors’ Dreams
NPUJ00200,Extreme Pinball
NPUJ00213,Tekken 2  (req. OFW 3.40)
NPUJ00213,Tekken 2  (req. OFW 3.01)
NPUJ00213,Tekken 2  (Canadian Store) [BUGGY]
NPUJ00215,Namco Museum Vol. 1
NPUJ00216,Namco Museum Vol. 2
NPUJ00232,Pandemonium
NPUJ00238,International Track & Field
NPUJ00258,Street Fighter Alpha 2
NPUJ00270,Wing Commander IV
NPUJ00275,Theme Hospital
NPUJ00277,Populous: The Beginning
NPUJ00292,Suikoden
NPUJ00297,Star Wars: Dark Forces
NPUJ00298,Herc’s Adventures
NPUJ00313,Gunship
NPUJ00340,Tecmo’s Deception: Invitation to Darkness
NPUJ00341,Perfect Weapon
NPUJ00377,Ten Pin Alley
NPUJ00379,Command & Conquer
NPUJ00382,Reloaded
NPUJ00398,Namco Museum Vol. 3
NPUJ00416,Namco Museum Vol. 4
NPUJ00417,Namco Museum Vol. 5
NPUJ00431,Command & Conquer: Red Alert
NPUJ00433,Fighting Force
NPUJ00437,Tomb Raider 2
NPUJ00439,Pac-Man World 20th Anniversary
NPUJ00440,Reel Fishing
NPUJ00453,Mega Man 8
NPUJ00461,Xevious 3D/G+
NPUJ00462,Mass Destruction
NPUJ00469,ONE
NPUJ00518,Nuclear Strike
NPUJ00553,Alundra
NPUJ00561,Mega Man X4
NPUJ00585,Klonoa: Door to Phantomile
NPUJ00594,Metal Gear Solid
NPUJ00598,Gex: Enter the Gecko
NPUJ00603,Mega Man Legends
NPUJ00637,N2O
NPUJ00659,Backstreet Billiards
NPUJ00662,Parasite Eve
NPUJ00664,Xenogears
NPUJ00665,Command & Conquer: Red Alert Retaliation
NPUJ00691,Tomb Raider 3: Adventures of Lara Croft
NPUJ00693,Dead In The Water
NPUJ00707,Silent Hill
NPUJ00708,Legacy of Kain: Soul Reaver
NPUJ00710,Oddworld: Abe’s Exoddus
NPUJ00717,MotorHead
NPUJ00732,Destrega
NPUJ00739,Future Cop L.A.P.D.
NPUJ00745,Darkstalkers 3
NPUJ00747,Resident Evil: Director’s Cut
NPUJ00748,Resident Evil 2 [Dual Shock Version]
NPUJ00753,R-Types
NPUJ00754,Bust-A-Move 4
NPUJ00797,R4: Ridge Racer Type 4
NPUJ00806,Gex: Deep Cover Gecko
NPUJ00807,Centipede
NPUJ00820,Echo Night
NPUJ00821,Street Fighter Alpha 3
NPUJ00823,Bomberman Fantasy Race
NPUJ00843,Reel Fishing II
NPUJ00863,Shadow Tower
NPUJ00877,R-Type Delta
NPUJ00879,Final Fantasy V
NPUJ00885,Tomb Raider: The Last Revelation
NPUJ00889,Pong
NPUJ00892,Final Fantasy VIII
NPUJ00893,Toy Story 2: Buzz Lightyear To The Rescue!
NPUJ00896,The Misadventures of Tron Bonne
NPUJ00900,Final Fantasy VI
NPUJ00922,Dino Crisis
NPUJ00923,Resident Evil 3: Nemesis
NPUJ00947,Tom Clancy’s Rainbow Six
NPUJ00957,Metal Gear Solid VR Missions
NPUJ00958,Suikoden II
NPUJ00974,Medal of Honor
NPUJ00980,TNN Motor Sports Hardcore TR
NPUJ00992,Missile Command
NPUJ01011,Front Mission 3
NPUJ01013,Legend of Mana
NPUJ01019,Threads of Fate
NPUJ01029,Hercules
NPUJ01040,Vagrant Story
NPUJ01041,Chrono Cross
NPUJ01042,Parasite Eve II
NPUJ01069,Sim Theme Park
NPUJ01070,Vanguard Bandits
NPUJ01084,Championship Bass
NPUJ01093,Sno-Cross Championship Racing
NPUJ01111,Mr. Driller
NPUJ01115,Harvest Moon: Back To Nature
NPUJ01131,Spec Ops: Stealth Patrol
NPUJ01140,Mega Man Legends 2
NPUJ01142,Strider 1&2
NPUJ01158,Persona 2: Eternal Punishment
NPUJ01189,Bomberman Party Edition
NPUJ01195,Hogs of War
NPUJ01201,Alone in the Dark: The New Nightmare
NPUJ01212,Metal Slug X
NPUJ01214,Toy Story Racer
NPUJ01224,Arc the Lad
NPUJ01235,Rayman 2: The Great Escape
NPUJ01251,Final Fantasy IX
NPUJ01252,Arc the Lad II
NPUJ01253,Arc the Lad III
NPUJ01255,Arc Arena: Monster Tournament
NPUJ01270,Medal of Honor Underground
NPUJ01279,Dino Crisis 2
NPUJ01286,Disney’s The Little Mermaid II
NPUJ01288,Bowling
NPUJ01291,Racing
NPUJ01299,Spec Ops: Ranger Elite
NPUJ01301,Ford Racing
NPUJ01302,Starfighter Sanvein
NPUJ01307,Star Sweep
NPUJ01308,Space Shot
NPUJ01309,Boxing
NPUJ01324,Breath of Fire 4
NPUJ01332,The King of Fighters ’99
NPUJ01334,Mega Man X5
NPUJ01335,Battle Hunter
NPUJ01342,Crossroad Crisis
NPUJ01363,Chrono Trigger
NPUJ01371,Putter Golf
NPUJ01374,Virtual Pool 3
NPUJ01379,Card Games
NPUJ01381,Saiyuki: Journey West
NPUJ01384,Castlevania Chronicles
NPUJ01400,Chess
NPUJ01412,Kickboxing
NPUJ01420,Spec Ops: Covert Assault
NPUJ01431,All-Star Slammin D-Ball
NPUJ01447,Spec Ops: Airborne Commando
NPUJ01450,Street Racquetball
NPUJ01470,Aces of the Air
NPUJ01490,Monster Bass!
NPUJ01495,Sorcerer’s Maze
NPUJ01499,Turnabout
NPUJ01506,XS Moto
NPUJ01509,Jigsaw Madness
NPUJ01520,XS Junior League Soccer
NPUJ01525,Mobile Light Force
NPUJ01538,A Bug’s Life
NPUJ01541,Final Fantasy Origins
NPUJ01552,Dirt Jockey
NPUJ01554,XS Junior League Football
NPUJ01560,XS Junior League Dodgeball
NPUJ01566,XS Airboat Racing
NPUJ94163,Final Fantasy VII
NPUJ94182,Armored Core
