dat_file,line_no,name,region,serial,code4,code4_in_3dstdb,code4_name,core_slug,dat_core_match_count,dat_core_match_type,dat_core_match_examples
Nintendo - Nintendo 3DS.dat,78,3D Game Collection - 55-en-1 (France),France,CTR-P-AD3F,AD3F,False,,3d_game_collection_55_en_1,0,none,
Nintendo - Nintendo 3DS.dat,278,Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Beta),USA,CTR-B-9DJN,9DJN,False,,adventure_time_hey_ice_king_why_d_you_steal_our_garbage,2,ambiguous_core_match,000400000009F200:Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) | 000400000009F200:Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Rev 1)
Nintendo - Nintendo 3DS.dat,288,Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Beta),USA,CTR-B-9DJN,9DJN,False,,adventure_time_hey_ice_king_why_d_you_steal_our_garbage,2,ambiguous_core_match,000400000009F200:Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) | 000400000009F200:Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Rev 1)
Nintendo - Nintendo 3DS.dat,298,Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Beta),USA,CTR-B-9DJN,9DJN,False,,adventure_time_hey_ice_king_why_d_you_steal_our_garbage,2,ambiguous_core_match,000400000009F200:Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) | 000400000009F200:Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Rev 1)
Nintendo - Nintendo 3DS.dat,308,Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Beta),USA,CTR-B-9DJN,9DJN,False,,adventure_time_hey_ice_king_why_d_you_steal_our_garbage,2,ambiguous_core_match,000400000009F200:Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) | 000400000009F200:Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Rev 1)
Nintendo - Nintendo 3DS.dat,473,Andro Dunos 2 (Europe),Europe,CTR-P-AXTP,AXTP,False,,andro_dunos_2,0,none,
Nintendo - Nintendo 3DS.dat,480,Andro Dunos 2 (USA),USA,CTR-P-AXTE,AXTE,False,,andro_dunos_2,0,none,
Nintendo - Nintendo 3DS.dat,2704,"Disney Princess - My Fairytale Adventure (Spain) (En,Es)",Spain,CTR-P-ADPS,ADPS,False,,disney_princess_my_fairytale_adventure,4,ambiguous_core_match,"00040000000A4F00:Disney Princess - My Fairytale Adventure (Europe) (En,Fr,Nl) | 00040000000A5000:Disney Princess - My Fairytale Adventure (Europe) (Fr,De,It) | 00040000000A5200:Disney Princess - My Fairytale Adventure (Europe) (Sv,No,Da) | 0004000000083900:Disney Princess - My Fairytale Adventure (USA) (En,Fr,Es)"
Nintendo - Nintendo 3DS.dat,2726,Disney Violetta - Rhythm & Music (USA),USA,CTR-P-BGRZ,BGRZ,False,,disney_violetta_rhythm_music,1,unique_core_match,"000400000012F400:Disney Violetta - Rhythm & Music (Europe) (En,Fr,De,Es,It,Pt)"
Nintendo - Nintendo 3DS.dat,2858,Doraemon - Jinguui Suhak Daemoheom (Korea),Korea,CTR-P-ADWK,ADWK,False,,doraemon_jinguui_suhak_daemoheom,0,none,
Nintendo - Nintendo 3DS.dat,3819,Fire Emblem If - Byakuya Oukoku (Taiwan) (Ja),Taiwan,CTR-P-BFXZ,BFXZ,False,,fire_emblem_if_byakuya_oukoku,1,unique_core_match,000400000012DC00:Fire Emblem If - Byakuya Oukoku (Japan)
Nintendo - Nintendo 3DS.dat,4216,Go! Go! Kokopolo - Harmonious Forest Revenge (USA),USA,CTR-P-A5LE,A5LE,False,,go_go_kokopolo_harmonious_forest_revenge,0,none,
Nintendo - Nintendo 3DS.dat,4222,Go! Go! Kokopolo 3D - Space Recipe For Disaster (USA),USA,CTR-P-A49E,A49E,False,,go_go_kokopolo_3d_space_recipe_for_disaster,0,none,
Nintendo - Nintendo 3DS.dat,4792,"Hidden Expedition - Titanic (Europe) (En,Fr,De,Nl) (Rev 2)",Europe,,,False,,hidden_expedition_titanic,1,unique_core_match,"00040000000D7200:Hidden Expedition - Titanic (Europe) (En,Fr,De,Nl)"
Nintendo - Nintendo 3DS.dat,4984,Hotel Transylvania (United Kingdom),United Kingdom,CTR-P-AH8X,AH8X,False,,hotel_transylvania,4,ambiguous_core_match,"00040000000B1B00:Hotel Transylvania (Europe) (En,Fr,De,It) | 00040000000BF600:Hotel Transylvania (Europe) (En,Fr,Nl) | 00040000000A2600:Hotel Transylvania (USA) | 00040000000A2600:Hotel Transylvania (USA) (Rev 1)"
Nintendo - Nintendo 3DS.dat,5166,"Imagine Collection (Europe) (En,Fr,De,Es,Nl,Sv,No,Da) (Rev 1)",Europe,,,False,,imagine_collection,1,unique_core_match,"0004000000150A00:Imagine Collection (Europe) (En,Fr,De,Es,Nl,Sv,No,Da)"
Nintendo - Nintendo 3DS.dat,5812,"Kirby Battle Royale (USA) (En,Ja,Fr,De,Es,It,Nl,Ko) (Rev 2)",USA,AJ8E,,False,,kirby_battle_royale,2,ambiguous_core_match,"00040000001C2100:Kirby Battle Royale (Europe) (En,Fr,De,Es,It,Nl) | 00040000001C2000:Kirby Battle Royale (USA)"
Nintendo - Nintendo 3DS.dat,5841,Kobito Dukan - Kobito Kansatsu Set (Japan),Japan,,,False,,kobito_dukan_kobito_kansatsu_set,1,unique_core_match,0004000000095B00:Kobito Dukan - Kobito Kansatsu Set (Japan) (Rev 1)
Nintendo - Nintendo 3DS.dat,6028,"LEGO Batman 2 - DC Super Heroes (Canada) (En,Fr-CA)",Canada,ALBZ,,False,,lego_batman_2_dc_super_heroes,8,ambiguous_core_match,"000400000005A400:LEGO Batman 2 - DC Super Heroes (Europe) (En,Fr,De,Es,It,Nl,Da) | 000400000005A400:LEGO Batman 2 - DC Super Heroes (Europe) (En,Fr,De,Es,It,Nl,Da) (Rev 1) | 0004000000098500:LEGO Batman 2 - DC Super Heroes (France) (En,Fr) | 0004000000098500:LEGO Batman 2 - DC Super Heroes (France) (En,Fr) (Rev 1) | 0004000000098600:LEGO Batman 2 - DC Super Heroes (Germany) (En,De)"
Nintendo - Nintendo 3DS.dat,6169,LEGO City Undercover - The Chase Begins (Korea),Korea,CTR-P-AA8K,AA8K,False,,lego_city_undercover_the_chase_begins,3,ambiguous_core_match,"00040000000AD600:LEGO City Undercover - The Chase Begins (Europe) (En,Fr,De,Es,It,Nl,Pt,Da,Ru) | 0004000000154700:LEGO City Undercover - The Chase Begins (Japan) | 00040000000AD500:LEGO City Undercover - The Chase Begins (USA) (En,Fr,Es)"
Nintendo - Nintendo 3DS.dat,6488,"LEGO Ninjago - L'Ombre de Ronin (France) (En,Fr,De,Es,It,Nl,Da) (Rev 1)",France,,,False,,lego_ninjago_l_ombre_de_ronin,1,unique_core_match,"000400000014E800:LEGO Ninjago - L'Ombre de Ronin (France) (En,Fr,De,Es,It,Nl,Da)"
Nintendo - Nintendo 3DS.dat,6723,"LEGO Star Wars - The Force Awakens (Europe) (En,Fr,De,Es,It,Nl,Da) (Beta)",Europe,,,False,,lego_star_wars_the_force_awakens,2,ambiguous_core_match,"000400000017ED00:LEGO Star Wars - The Force Awakens (Europe) (En,Fr,De,Es,It,Nl,Da) | 000400000017F900:LEGO Star Wars - The Force Awakens (USA)"
